Url,Status,Date,Address,Terms of sale
https://sullivan-auctioneers.com/calendar-detail/?id=8824,Postponed until Monday Oct 2 @ 12:00 pm,"monday - october 2, 2017 at 12:00 pm","444 Stevens Street, Lowell, MA 01851","$10,000 deposit by cash or bank check. Bank check should be made payable to the person attending the auction. If they are the successful high bidder, they will be instructed to endorse the check to the bank's attorney. Balance due 30 days. Accuracy of information not guaranteed. Additional terms announced at sale."
https://sullivan-auctioneers.com/calendar-detail/?id=8824,On Today,"monday - october 2, 2017 at 12:00 pm","444 Stevens Street, Lowell, MA 01851","$10,000 deposit by cash or bank check. Bank check should be made payable to the person attending the auction. If they are the successful high bidder, they will be instructed to endorse the check to the bank's attorney. Balance due 30 days. Accuracy of information not guaranteed. Additional terms announced at sale."
https://sullivan-auctioneers.com/calendar-detail/?id=8941,Continued from Thursday Aug 31,"tuesday - october 3, 2017 at 11:00 am","27 Klondike Road, Charlestown, RI 02813","$10,000 deposit by cash or bank check. Bank check should be made payable to the person attending the auction. If they are the successful high bidder, they will be instructed to endorse the check to the bank's attorney. Balance due 30 days. Accuracy of information not guaranteed. Additional terms announced at sale."
https://sullivan-auctioneers.com/calendar-detail/?id=9371,,"wednesday - october 4, 2017 at 10:00 am","11 Lillian Way, Carver, MA 02330","$10,000 deposit by cash or bank check. Bank check should be made payable to the person attending the auction. If they are the successful high bidder, they will be instructed to endorse the check to the bank's attorney. Balance due 45 days. Accuracy of information not guaranteed. Additional terms announced at sale."
https://sullivan-auctioneers.com/calendar-detail/?id=8964,Continued from Friday Aug 4,"wednesday - october 4, 2017 at 12:00 pm","23-25 Beech Street, Newport, NH 03773","$10,000 deposit by cash or bank check. Bank check should be made payable to the person attending the auction. If they are the successful high bidder, they will be instructed to endorse the check to the bank's attorney. Balance due 45 days. Accuracy of information not guaranteed. Additional terms announced at sale."
https://sullivan-auctioneers.com/calendar-detail/?id=9363,,"wednesday - october 4, 2017 at 12:00 pm","76 South Main Street, Coventry, RI 02816","$5,000 deposit by cash or bank check. Bank check should be made payable to the person attending the auction. If they are the successful high bidder, they will be instructed to endorse the check to the bank's attorney. Accuracy of information not guaranteed. Additional terms announced at sale."
https://sullivan-auctioneers.com/calendar-detail/?id=9243,,"thursday - october 5, 2017 at 10:00 am","240 Summer St,, Walpole, MA 02071","$10,000 deposit by cash or bank check. Bank check should be made payable to the person attending the auction. If they are the successful high bidder, they will be instructed to endorse the check to the bank's attorney. Balance due 45 days. Accuracy of information not guaranteed. Additional terms announced at sale."
https://sullivan-auctioneers.com/calendar-detail/?id=9499,,"date:  thursday - october 12, 2017 at 12:00 pm","OPEN HOUSE - 192 VINING HILL ROAD, SOUTHWICK, MA 01077","$5,000 deposit & balance due in 30 days."
https://sullivan-auctioneers.com/calendar-detail/?id=9163,Continued from Thursday Sep 21,"thursday - october 5, 2017 at 12:00 pm","640 Blais Street, Berlin, NH 03570","$10,000 deposit by cash or bank check. Bank check should be made payable to the person attending the auction. If they are the successful high bidder, they will be instructed to endorse the check to the bank's attorney. Balance due 45 days. Accuracy of information not guaranteed. Additional terms announced at sale."
https://sullivan-auctioneers.com/calendar-detail/?id=9276,,"thursday - october 5, 2017 at 12:00 pm","14 Winter Street, Foxborough, MA 02035","$10,000 deposit by cash or bank check. Bank check should be made payable to the person attending the auction. If they are the successful high bidder, they will be instructed to endorse the check to the bank's attorney. Balance due 45 days. Accuracy of information not guaranteed. Additional terms announced at sale."
