THE SALE IS CANCELLED,Friday,September 29,10:00 AM,6 Sylvan Road,BEVERLY,MA,"$5,000 "
,Friday,September 29,11:00 AM,22 Chestnut Street,BEVERLY,MA,"$5,000 "
(POSTPONED TO 10-20-17 @ 2:00 PM),Friday,September 29,11:00 AM,6 Glendale Street,RANDOLPH,MA,"$5,000 "
(POSTPONED TO 10-18-17 @ 2:00 PM),Friday,September 29,12:00 PM,396 Jefferson Avenue,SALEM,MA,"$5,000 "
(Continued from 9-6-17),Friday,September 29, 1:00 PM,258 Tremont Street,REHOBOTH,MA,"$5,000 "
THE SALE IS CANCELLED,Friday,September 29, 2:00 PM,12 Keith Street,WATERTOWN,MA,"$5,000 "
(Continued from 8-30-17),Monday,October 02,11:00 AM,14 Howe Street,ALLENSTOWN,NH,"$5,000 "
,Monday,October 02,11:00 AM,20 Orchard Street,ADAMS,MA,"$5,000 "
,Monday,October 02,11:00 AM,18 Stevens Street,METHUEN,MA,"$5,000 "
,Monday,October 02,12:00 PM,8 Moison Avenue,METHUEN,MA,"$5,000 "
THE SALE IS CANCELLED,Monday,October 02, 1:00 PM,105 Meadow Creek Drive,DRACUT,MA,"$5,000 "
,Monday,October 02, 2:00 PM,40 Surrey Lane,DRACUT,MA,"$5,000 "
(Continued from 8-28-17),Monday,October 02, 3:00 PM,63 East Street,FITCHBURG,MA,"$5,000 "
,Monday,October 02, 3:00 PM,24 Algonquin Drive,TEWKSBURY,MA,"$5,000 "
,Monday,October 02, 4:00 PM,63 Shirley Street,PEPPERELL,MA,"$5,000 "
,Tuesday,October 03,10:00 AM,518 Mendon Road,SUTTON,MA,"$5,000 "
,Tuesday,October 03,11:00 AM,107 Sunset Drive,WESTFIELD,MA,"$5,000 "
,Tuesday,October 03,11:00 AM,8 Freeman Avenue,WEBSTER,MA,"$5,000 "
(POSTPONED TO 11-8-17 @ 11:00 AM),Tuesday,October 03,12:00 PM,25 Watt Road,WORCESTER,MA,"$5,000 "
,Tuesday,October 03, 1:00 PM,10 Overlook Drive,SOUTHBOROUGH,MA,"$10,000"
,Tuesday,October 03, 1:00 PM,272 Skeele Street,CHICOPEE,MA,"$5,000 "
,Tuesday,October 03, 2:00 PM,540-542 Chestnut Street a/k/a 542 Chestnut Street,SPRINGFIELD,MA,"$5,000 "
,Tuesday,October 03, 3:00 PM,15 East School Street,WEST SPRINGFIELD,MA,"$5,000 "
,Tuesday,October 03, 4:00 PM,44 Derryfield Avenue,SPRINGFIELD,MA,"$5,000 "
(POSTPONED TO 11-20-17 @ 10:00 AM),Wednesday,October 04,10:00 AM,26 Yale Road,PEMBROKE,MA,"$5,000 "
,Wednesday,October 04,10:00 AM,6 Juniper Road,HOLBROOK,MA,"$5,000 "
,Wednesday,October 04,11:00 AM,"11 Northfield Drive, Unit #6A, (The Rockland Glen Condominium)",ROCKLAND,MA,"$5,000 "
,Wednesday,October 04,11:00 AM,236 Sanborn Street,FRANKLIN,NH,"$5,000 "
(POSTPONED TO 11-20-17 @ 11:00 AM),Wednesday,October 04,11:00 AM,58 Bunnys Road,CARVER,MA,"$5,000 "
THE SALE IS CANCELLED,Wednesday,October 04,12:00 PM,44 Main Street,CHICHESTER,NH,"$5,000 "
,Wednesday,October 04,12:00 PM,"848 Plain Street, Bldg. #3, Unit #16, (The Olde Stage Stop Village Condominium)",MARSHFIELD,MA,"$5,000 "
,Wednesday,October 04, 1:00 PM,750 East Washington Street,HANSON,MA,"$5,000 "
,Wednesday,October 04, 2:00 PM,50 Thayer Road,NEW IPSWICH,NH,"$5,000 "
,Wednesday,October 04, 2:00 PM,593 Old Strawberry Hill Road,CENTERVILLE (Barnstable),MA,"$5,000 "
,Wednesday,October 04, 2:00 PM,173 Sherwood Circle,EAST BRIDGEWATER,MA,"$5,000 "
,Wednesday,October 04, 3:00 PM,17 Station Avenue,SOUTH YARMOUTH,MA,"$5,000 "
,Wednesday,October 04, 3:00 PM,61 Stanton Street,ROCKLAND,MA,"$5,000 "
THE SALE IS CANCELLED,Wednesday,October 04, 4:00 PM,29 Babcock Avenue,WEYMOUTH,MA,"$5,000 "
,Thursday,October 05,11:00 AM,300 Bridge Street,SOUTH HAMILTON (Hamilton),MA,"$15,000"
,Thursday,October 05,11:00 AM,30 Golf Street,SOUTHBRIDGE,MA,"$5,000 "
,Thursday,October 05,12:00 PM,6 Fairgrounds Road a/k/a 6 Fairground Road,STURBRIDGE,MA,"$5,000 "
THE SALE IS CANCELLED,Thursday,October 05,12:00 PM,53 Winthrop Avenue,GLOUCESTER,MA,"$5,000 "
